user_id,username,role,country,city,browser,behaviour_profile,account_created,active
40,user_0040,Visitor,Tanzania,Dar es Salaam,Chrome 138.0 (Windows 11),Shopper,2023-12-21,True
41,user_0041,Visitor,United Kingdom,London,Safari 18.0 (macOS),Shopper,2025-03-11,True
42,user_0042,API Client,Uganda,Kampala,Chrome 138.0 (Windows 11),Registered User,2023-12-27,True
43,user_0043,Visitor,Ethiopia,Addis Ababa,Chrome Mobile (Android),Casual Visitor,2025-02-06,True
44,user_0044,Customer,Ethiopia,Mekelle,Chrome Mobile (Android),Shopper,2025-01-14,True
45,user_0045,Visitor,Tanzania,Dar es Salaam,Safari 18.0 (macOS),Casual Visitor,2026-02-21,True
46,user_0046,Administrator,India,Mumbai,Chrome 138.0 (Windows 11),Casual Visitor,2024-09-12,True
47,user_0047,Visitor,Ethiopia,Addis Ababa,Chrome Mobile (Android),Casual Visitor,2023-10-05,True
48,user_0048,Visitor,Ethiopia,Addis Ababa,Firefox 140.0 (Ubuntu),Shopper,2025-07-12,True
49,user_0049,Customer,United States,New York,Chrome Mobile (Android),Casual Visitor,2025-11-09,True
50,user_0050,Visitor,Uganda,Kampala,Chrome 138.0 (Windows 11),Registered User,2024-02-08,True
51,user_0051,Customer,United States,New York,Firefox 140.0 (Ubuntu),Shopper,2025-03-09,True
52,user_0052,Visitor,Singapore,Singapore,Chrome 138.0 (Windows 11),Casual Visitor,2023-11-29,True
53,user_0053,Visitor,United States,New York,Firefox 140.0 (Ubuntu),Shopper,2025-12-03,True
54,user_0054,Customer,India,Mumbai,Chrome 138.0 (Windows 11),Casual Visitor,2024-10-27,True
55,user_0055,Customer,Uganda,Kampala,Chrome Mobile (Android),Shopper,2026-04-01,True
56,user_0056,Visitor,Kenya,Mombasa,Chrome 138.0 (Windows 11),Registered User,2026-03-16,True
57,user_0057,Visitor,Tanzania,Dar es Salaam,Chrome Mobile (Android),Registered User,2025-02-10,True
58,user_0058,Customer,Uganda,Kampala,Firefox 140.0 (Ubuntu),Registered User,2026-01-11,True
59,user_0059,Customer,United Kingdom,London,Firefox 140.0 (Ubuntu),Casual Visitor,2024-05-23,True
60,user_0060,Customer,Ethiopia,Mekelle,Safari 18.0 (macOS),Casual Visitor,2023-11-15,True
61,user_0061,Visitor,India,Mumbai,Firefox 140.0 (Ubuntu),Casual Visitor,2023-10-09,True
62,user_0062,Visitor,Germany,Berlin,Chrome 138.0 (Windows 11),API Client,2026-05-22,True
63,user_0063,Customer,Singapore,Singapore,Chrome Mobile (Android),Casual Visitor,2024-07-18,True
64,user_0064,Customer,United States,New York,Edge 138.0 (Windows 11),Casual Visitor,2024-10-21,True
65,user_0065,Visitor,United Kingdom,London,Chrome Mobile (Android),Casual Visitor,2023-11-30,True
66,user_0066,Visitor,Tanzania,Dar es Salaam,Safari 18.0 (macOS),Casual Visitor,2024-07-25,True
67,user_0067,Visitor,Singapore,Singapore,Chrome 138.0 (Windows 11),Administrator,2024-01-02,True
68,user_0068,Customer,United Kingdom,London,Edge 138.0 (Windows 11),Shopper,2025-03-11,True
69,user_0069,Customer,United Kingdom,London,Chrome Mobile (Android),Casual Visitor,2024-10-03,True
70,user_0070,Customer,Germany,Berlin,Edge 138.0 (Windows 11),Shopper,2025-07-03,True
71,user_0071,Visitor,United States,Dallas,Chrome Mobile (Android),Shopper,2026-04-12,True
72,user_0072,Customer,India,Mumbai,Chrome Mobile (Android),Shopper,2025-02-15,True
73,user_0073,Visitor,Uganda,Kampala,Chrome Mobile (Android),Casual Visitor,2024-04-07,True
74,user_0074,Visitor,Tanzania,Dar es Salaam,Firefox 140.0 (Ubuntu),Casual Visitor,2025-02-24,True
75,user_0075,Visitor,India,Mumbai,Chrome Mobile (Android),Casual Visitor,2025-01-31,True
76,user_0076,Visitor,India,Mumbai,Chrome 138.0 (Windows 11),Registered User,2024-06-19,True
77,user_0077,Visitor,Ethiopia,Mekelle,Chrome Mobile (Android),Shopper,2026-06-05,True
78,user_0078,Visitor,Ethiopia,Mekelle,Safari 18.0 (macOS),Shopper,2024-09-16,False
79,user_0079,Customer,United Kingdom,London,Chrome Mobile (Android),Shopper,2026-06-25,True
80,user_0080,Customer,India,Mumbai,Safari 18.0 (macOS),Shopper,2026-05-01,True
81,user_0081,Customer,United States,Dallas,Edge 138.0 (Windows 11),Shopper,2023-11-17,True
82,user_0082,Visitor,Tanzania,Dar es Salaam,Chrome Mobile (Android),Casual Visitor,2026-03-02,True
83,user_0083,Customer,Germany,Berlin,Chrome 138.0 (Windows 11),Shopper,2026-04-11,True
84,user_0084,Visitor,India,Mumbai,Safari 18.0 (macOS),Casual Visitor,2024-04-20,True
85,user_0085,Visitor,Kenya,Mombasa,Edge 138.0 (Windows 11),Casual Visitor,2025-11-05,True
86,user_0086,Visitor,Germany,Berlin,Edge 138.0 (Windows 11),Shopper,2024-08-13,True
87,user_0087,Customer,United Kingdom,London,Safari 18.0 (macOS),Administrator,2024-04-08,False
88,user_0088,Administrator,Singapore,Singapore,Chrome Mobile (Android),Shopper,2025-07-17,True
89,user_0089,Customer,Germany,Berlin,Firefox 140.0 (Ubuntu),Casual Visitor,2025-03-10,True
90,user_0090,Visitor,Tanzania,Dar es Salaam,Safari 18.0 (macOS),Casual Visitor,2024-09-21,False
91,user_0091,Customer,Germany,Berlin,Safari 18.0 (macOS),Casual Visitor,2026-04-19,True
92,user_0092,Customer,United Kingdom,London,Chrome 138.0 (Windows 11),Registered User,2025-12-11,True
93,user_0093,Customer,Tanzania,Dar es Salaam,Firefox 140.0 (Ubuntu),Casual Visitor,2024-07-05,True
94,user_0094,Customer,Tanzania,Dar es Salaam,Edge 138.0 (Windows 11),Casual Visitor,2026-06-27,True
95,user_0095,API Client,Ethiopia,Addis Ababa,Chrome 138.0 (Windows 11),Shopper,2024-12-14,True
96,user_0096,Administrator,Germany,Berlin,Firefox 140.0 (Ubuntu),Casual Visitor,2023-10-24,True
97,user_0097,Customer,Tanzania,Dar es Salaam,Edge 138.0 (Windows 11),Registered User,2024-07-19,True
98,user_0098,Visitor,Ethiopia,Addis Ababa,Safari 18.0 (macOS),Shopper,2023-09-17,True
99,user_0099,Customer,United Kingdom,London,Safari 18.0 (macOS),Casual Visitor,2024-12-01,False
100,user_0100,Visitor,India,Mumbai,Chrome Mobile (Android),API Client,2025-04-13,True
101,user_0101,Visitor,Singapore,Singapore,Chrome Mobile (Android),Casual Visitor,2024-09-17,True
102,user_0102,Customer,Ethiopia,Mekelle,Firefox 140.0 (Ubuntu),Registered User,2023-11-09,True
103,user_0103,Visitor,Germany,Berlin,Edge 138.0 (Windows 11),Casual Visitor,2024-06-21,True
104,user_0104,Visitor,United States,Dallas,Chrome Mobile (Android),Registered User,2025-12-27,True
105,user_0105,Visitor,Kenya,Nairobi,Safari 18.0 (macOS),Shopper,2024-11-29,True
106,user_0106,Visitor,India,Mumbai,Chrome 138.0 (Windows 11),Casual Visitor,2024-06-24,True
107,user_0107,Customer,Tanzania,Dar es Salaam,Edge 138.0 (Windows 11),Shopper,2026-05-13,True
108,user_0108,Visitor,Germany,Berlin,Safari 18.0 (macOS),Casual Visitor,2025-09-12,True
109,user_0109,Visitor,Ethiopia,Addis Ababa,Chrome Mobile (Android),API Client,2025-04-04,True
110,user_0110,Customer,Tanzania,Dar es Salaam,Edge 138.0 (Windows 11),Registered User,2026-04-23,False
111,user_0111,API Client,Singapore,Singapore,Firefox 140.0 (Ubuntu),Casual Visitor,2025-07-11,True
112,user_0112,Customer,United States,New York,Firefox 140.0 (Ubuntu),Casual Visitor,2024-03-07,False
113,user_0113,Customer,Singapore,Singapore,Firefox 140.0 (Ubuntu),Shopper,2024-09-13,True
114,user_0114,Customer,Ethiopia,Addis Ababa,Safari 18.0 (macOS),Shopper,2024-03-02,True
115,user_0115,Administrator,Kenya,Mombasa,Safari 18.0 (macOS),Casual Visitor,2024-08-16,True
116,user_0116,Customer,India,Mumbai,Chrome 138.0 (Windows 11),Casual Visitor,2025-12-18,True
117,user_0117,API Client,United States,New York,Chrome 138.0 (Windows 11),Shopper,2025-11-13,True
118,user_0118,Visitor,Tanzania,Dar es Salaam,Safari 18.0 (macOS),Casual Visitor,2024-09-10,True
119,user_0119,Customer,Germany,Berlin,Chrome 138.0 (Windows 11),Shopper,2026-01-23,True
120,user_0120,Visitor,Tanzania,Dar es Salaam,Chrome 138.0 (Windows 11),Casual Visitor,2025-05-25,True
121,user_0121,Visitor,Ethiopia,Addis Ababa,Safari 18.0 (macOS),Shopper,2026-01-21,True
122,user_0122,Visitor,Kenya,Nairobi,Edge 138.0 (Windows 11),Registered User,2025-04-10,True
123,user_0123,Customer,Tanzania,Dar es Salaam,Chrome Mobile (Android),Shopper,2025-02-11,True
124,user_0124,Visitor,Germany,Berlin,Firefox 140.0 (Ubuntu),Administrator,2024-07-04,True
125,user_0125,Visitor,Ethiopia,Addis Ababa,Edge 138.0 (Windows 11),Shopper,2024-02-29,True
126,user_0126,Visitor,United States,Dallas,Edge 138.0 (Windows 11),Shopper,2025-09-28,True
127,user_0127,Visitor,Singapore,Singapore,Chrome Mobile (Android),Casual Visitor,2025-09-03,True
128,user_0128,Visitor,United Kingdom,London,Firefox 140.0 (Ubuntu),API Client,2023-12-18,True
129,user_0129,Customer,Kenya,Mombasa,Firefox 140.0 (Ubuntu),Shopper,2023-10-11,True
130,user_0130,API Client,United States,New York,Safari 18.0 (macOS),Shopper,2024-01-16,True
131,user_0131,Visitor,Ethiopia,Mekelle,Edge 138.0 (Windows 11),Casual Visitor,2024-03-23,True
132,user_0132,Visitor,Uganda,Kampala,Safari 18.0 (macOS),Casual Visitor,2026-03-30,True
133,user_0133,Visitor,Singapore,Singapore,Edge 138.0 (Windows 11),Casual Visitor,2024-04-03,True
134,user_0134,Customer,Germany,Berlin,Chrome Mobile (Android),Shopper,2026-06-21,True
135,user_0135,Customer,Singapore,Singapore,Safari 18.0 (macOS),Shopper,2025-05-15,True
136,user_0136,Visitor,Tanzania,Dar es Salaam,Edge 138.0 (Windows 11),Shopper,2026-02-10,True
137,user_0137,API Client,Ethiopia,Addis Ababa,Chrome Mobile (Android),Registered User,2023-11-05,True
138,user_0138,Customer,United States,New York,Chrome 138.0 (Windows 11),Casual Visitor,2025-03-18,True
139,user_0139,Administrator,Ethiopia,Mekelle,Firefox 140.0 (Ubuntu),Shopper,2025-03-13,True
140,user_0140,Visitor,Singapore,Singapore,Safari 18.0 (macOS),API Client,2026-02-09,True
141,user_0141,Visitor,Singapore,Singapore,Chrome Mobile (Android),Shopper,2025-07-26,True
142,user_0142,Customer,Ethiopia,Mekelle,Safari 18.0 (macOS),Casual Visitor,2025-10-28,True
143,user_0143,Visitor,United States,New York,Edge 138.0 (Windows 11),Registered User,2024-08-23,True
144,user_0144,Visitor,India,Mumbai,Safari 18.0 (macOS),Casual Visitor,2025-12-05,True
145,user_0145,Visitor,Singapore,Singapore,Edge 138.0 (Windows 11),Registered User,2023-08-16,False
146,user_0146,Visitor,Tanzania,Dar es Salaam,Safari 18.0 (macOS),Casual Visitor,2026-06-20,True
147,user_0147,API Client,Germany,Berlin,Firefox 140.0 (Ubuntu),Shopper,2024-01-23,True
148,user_0148,Customer,Singapore,Singapore,Safari 18.0 (macOS),Casual Visitor,2026-06-23,True
149,user_0149,Visitor,Kenya,Nairobi,Firefox 140.0 (Ubuntu),Casual Visitor,2025-11-10,True
150,user_0150,Customer,United States,Dallas,Safari 18.0 (macOS),Shopper,2024-09-16,True
151,user_0151,API Client,Singapore,Singapore,Safari 18.0 (macOS),Registered User,2026-04-20,True
152,user_0152,Customer,Ethiopia,Addis Ababa,Edge 138.0 (Windows 11),API Client,2025-01-08,True
153,user_0153,Customer,Germany,Berlin,Chrome 138.0 (Windows 11),Shopper,2024-01-19,True
154,user_0154,Visitor,Kenya,Nairobi,Chrome 138.0 (Windows 11),Casual Visitor,2024-10-27,True
155,user_0155,Visitor,Uganda,Kampala,Chrome Mobile (Android),Shopper,2025-06-04,True
156,user_0156,Customer,Uganda,Kampala,Safari 18.0 (macOS),Shopper,2024-03-31,True
157,user_0157,Visitor,Uganda,Kampala,Edge 138.0 (Windows 11),Shopper,2025-07-03,True
158,user_0158,Customer,India,Mumbai,Firefox 140.0 (Ubuntu),Casual Visitor,2023-08-04,True
159,user_0159,Customer,United States,Dallas,Safari 18.0 (macOS),Registered User,2024-09-11,True
160,user_0160,Visitor,Germany,Berlin,Safari 18.0 (macOS),Shopper,2025-09-14,True
161,user_0161,API Client,United States,New York,Safari 18.0 (macOS),Casual Visitor,2024-05-02,True
162,user_0162,Customer,Kenya,Mombasa,Edge 138.0 (Windows 11),Registered User,2025-09-25,True
163,user_0163,Customer,United Kingdom,London,Chrome Mobile (Android),Casual Visitor,2024-01-11,True
164,user_0164,Administrator,Uganda,Kampala,Chrome 138.0 (Windows 11),Casual Visitor,2026-03-27,True
165,user_0165,Visitor,United Kingdom,London,Edge 138.0 (Windows 11),Casual Visitor,2024-11-04,True
166,user_0166,Customer,Tanzania,Dar es Salaam,Edge 138.0 (Windows 11),Shopper,2026-04-17,True
167,user_0167,Administrator,Uganda,Kampala,Safari 18.0 (macOS),API Client,2025-09-25,True
168,user_0168,Visitor,United Kingdom,London,Chrome 138.0 (Windows 11),Casual Visitor,2026-03-02,False
169,user_0169,Visitor,Germany,Berlin,Safari 18.0 (macOS),Casual Visitor,2024-06-02,True
170,user_0170,Customer,India,Mumbai,Edge 138.0 (Windows 11),Shopper,2024-03-23,True
171,user_0171,Customer,United Kingdom,London,Safari 18.0 (macOS),Casual Visitor,2025-03-01,True
172,user_0172,Administrator,Singapore,Singapore,Firefox 140.0 (Ubuntu),Shopper,2024-04-05,True
173,user_0173,Customer,India,Mumbai,Chrome 138.0 (Windows 11),Casual Visitor,2025-11-13,True
174,user_0174,Visitor,United States,Dallas,Firefox 140.0 (Ubuntu),Registered User,2025-10-30,True
175,user_0175,Customer,India,Mumbai,Chrome Mobile (Android),Shopper,2023-07-30,True
176,user_0176,Customer,Uganda,Kampala,Safari 18.0 (macOS),Shopper,2026-02-14,True
177,user_0177,Customer,United States,New York,Firefox 140.0 (Ubuntu),Shopper,2024-12-14,False
178,user_0178,API Client,United Kingdom,London,Edge 138.0 (Windows 11),Shopper,2025-08-27,False
179,user_0179,Visitor,United Kingdom,London,Firefox 140.0 (Ubuntu),API Client,2023-08-29,True
180,user_0180,Customer,India,Mumbai,Chrome Mobile (Android),API Client,2024-01-19,True
181,user_0181,API Client,United Kingdom,London,Chrome Mobile (Android),Casual Visitor,2025-02-12,True
182,user_0182,Customer,Singapore,Singapore,Firefox 140.0 (Ubuntu),Casual Visitor,2024-11-18,True
183,user_0183,Customer,Kenya,Mombasa,Firefox 140.0 (Ubuntu),API Client,2024-08-04,True
184,user_0184,Customer,Uganda,Kampala,Chrome 138.0 (Windows 11),Casual Visitor,2023-10-27,True
185,user_0185,Visitor,Tanzania,Dar es Salaam,Edge 138.0 (Windows 11),Casual Visitor,2024-08-07,True
186,user_0186,Customer,Singapore,Singapore,Safari 18.0 (macOS),Shopper,2025-12-27,True
187,user_0187,Visitor,Ethiopia,Mekelle,Chrome Mobile (Android),Casual Visitor,2023-11-29,True
188,user_0188,Visitor,Singapore,Singapore,Chrome 138.0 (Windows 11),Casual Visitor,2023-12-10,True
189,user_0189,Customer,Germany,Berlin,Safari 18.0 (macOS),Registered User,2025-08-22,True
190,user_0190,Customer,Ethiopia,Mekelle,Chrome 138.0 (Windows 11),Casual Visitor,2023-11-14,True
191,user_0191,Visitor,Singapore,Singapore,Chrome Mobile (Android),Shopper,2025-11-03,True
192,user_0192,Customer,Germany,Berlin,Chrome 138.0 (Windows 11),Registered User,2024-02-10,True
193,user_0193,Visitor,Singapore,Singapore,Firefox 140.0 (Ubuntu),Shopper,2024-02-14,True
194,user_0194,Customer,Germany,Berlin,Edge 138.0 (Windows 11),Shopper,2026-05-19,True
195,user_0195,Customer,United Kingdom,London,Safari 18.0 (macOS),Casual Visitor,2025-08-06,True
196,user_0196,Visitor,Ethiopia,Mekelle,Edge 138.0 (Windows 11),Registered User,2025-11-30,True
197,user_0197,Customer,Singapore,Singapore,Safari 18.0 (macOS),Casual Visitor,2024-04-11,True
198,user_0198,API Client,Germany,Berlin,Chrome Mobile (Android),Casual Visitor,2024-09-13,True
199,user_0199,Visitor,Singapore,Singapore,Safari 18.0 (macOS),Casual Visitor,2025-10-26,True
200,user_0200,Visitor,Singapore,Singapore,Edge 138.0 (Windows 11),Shopper,2026-02-26,True
201,user_0201,Customer,Singapore,Singapore,Edge 138.0 (Windows 11),Casual Visitor,2025-05-17,True
202,user_0202,Visitor,United States,Dallas,Firefox 140.0 (Ubuntu),Registered User,2024-06-23,True
203,user_0203,Visitor,Germany,Berlin,Chrome 138.0 (Windows 11),Casual Visitor,2025-11-13,True
204,user_0204,Visitor,Germany,Berlin,Firefox 140.0 (Ubuntu),Casual Visitor,2024-06-06,True
205,user_0205,Visitor,Ethiopia,Addis Ababa,Chrome Mobile (Android),Casual Visitor,2024-11-25,True
206,user_0206,Visitor,India,Mumbai,Safari 18.0 (macOS),Shopper,2025-04-09,True
207,user_0207,Visitor,Singapore,Singapore,Chrome 138.0 (Windows 11),Casual Visitor,2026-06-07,True
208,user_0208,Visitor,India,Mumbai,Safari 18.0 (macOS),API Client,2026-05-04,True
209,user_0209,Administrator,Tanzania,Dar es Salaam,Firefox 140.0 (Ubuntu),Registered User,2025-03-01,True
210,user_0210,Visitor,Ethiopia,Addis Ababa,Safari 18.0 (macOS),Casual Visitor,2025-06-09,True
211,user_0211,Visitor,Tanzania,Dar es Salaam,Chrome 138.0 (Windows 11),Shopper,2025-10-11,True
212,user_0212,Customer,Ethiopia,Mekelle,Chrome Mobile (Android),Shopper,2025-06-30,True
213,user_0213,Visitor,United States,New York,Edge 138.0 (Windows 11),Casual Visitor,2024-02-02,True
214,user_0214,Visitor,India,Mumbai,Chrome 138.0 (Windows 11),Casual Visitor,2024-08-18,True
215,user_0215,Visitor,Singapore,Singapore,Edge 138.0 (Windows 11),Registered User,2024-07-13,True
216,user_0216,Visitor,Uganda,Kampala,Chrome 138.0 (Windows 11),Shopper,2023-11-06,True
217,user_0217,Customer,United Kingdom,London,Firefox 140.0 (Ubuntu),Casual Visitor,2025-01-05,True
218,user_0218,Customer,Tanzania,Dar es Salaam,Chrome 138.0 (Windows 11),Casual Visitor,2023-08-31,True
219,user_0219,Customer,India,Mumbai,Chrome Mobile (Android),Shopper,2026-01-28,True
220,user_0220,Visitor,United Kingdom,London,Chrome 138.0 (Windows 11),Shopper,2025-12-06,True
221,user_0221,Visitor,United States,New York,Chrome 138.0 (Windows 11),Casual Visitor,2024-07-21,True
222,user_0222,Customer,Kenya,Mombasa,Chrome 138.0 (Windows 11),Shopper,2026-01-29,False
223,user_0223,Visitor,Ethiopia,Mekelle,Chrome Mobile (Android),API Client,2024-07-06,True
224,user_0224,Administrator,Kenya,Mombasa,Chrome Mobile (Android),Shopper,2023-08-10,True
225,user_0225,API Client,India,Mumbai,Safari 18.0 (macOS),Casual Visitor,2023-11-17,True
226,user_0226,Visitor,United Kingdom,London,Firefox 140.0 (Ubuntu),Casual Visitor,2026-04-05,True
227,user_0227,Visitor,India,Mumbai,Edge 138.0 (Windows 11),Casual Visitor,2023-10-29,True
228,user_0228,Visitor,Kenya,Mombasa,Chrome 138.0 (Windows 11),Shopper,2024-07-19,True
229,user_0229,Visitor,United States,New York,Chrome Mobile (Android),Shopper,2023-11-11,True
230,user_0230,Visitor,United States,Dallas,Chrome 138.0 (Windows 11),Casual Visitor,2023-09-16,True
231,user_0231,Customer,United Kingdom,London,Chrome Mobile (Android),Casual Visitor,2024-12-24,True
232,user_0232,Visitor,Singapore,Singapore,Edge 138.0 (Windows 11),Casual Visitor,2023-11-17,True
233,user_0233,Visitor,India,Mumbai,Firefox 140.0 (Ubuntu),Casual Visitor,2025-10-05,True
234,user_0234,Customer,Ethiopia,Addis Ababa,Chrome Mobile (Android),Casual Visitor,2024-08-02,True
235,user_0235,Customer,Uganda,Kampala,Chrome Mobile (Android),Registered User,2024-10-04,True
236,user_0236,Visitor,India,Mumbai,Firefox 140.0 (Ubuntu),API Client,2026-06-03,True
237,user_0237,Visitor,India,Mumbai,Edge 138.0 (Windows 11),API Client,2025-08-22,True
238,user_0238,Customer,Tanzania,Dar es Salaam,Chrome Mobile (Android),API Client,2024-06-26,True
239,user_0239,Visitor,United States,Dallas,Safari 18.0 (macOS),API Client,2025-11-13,True
240,user_0240,Visitor,Uganda,Kampala,Safari 18.0 (macOS),Registered User,2024-02-20,True
241,user_0241,Visitor,Ethiopia,Addis Ababa,Firefox 140.0 (Ubuntu),Casual Visitor,2026-01-02,True
242,user_0242,Visitor,Uganda,Kampala,Firefox 140.0 (Ubuntu),Registered User,2026-01-10,True
243,user_0243,Visitor,Kenya,Mombasa,Chrome Mobile (Android),Casual Visitor,2025-08-02,True
244,user_0244,Visitor,Ethiopia,Mekelle,Edge 138.0 (Windows 11),Administrator,2024-08-10,True
245,user_0245,Visitor,United Kingdom,London,Edge 138.0 (Windows 11),Administrator,2025-08-02,True
246,user_0246,Visitor,Uganda,Kampala,Chrome 138.0 (Windows 11),Administrator,2025-04-22,True
247,user_0247,Visitor,Tanzania,Dar es Salaam,Chrome Mobile (Android),Shopper,2024-05-20,True
248,user_0248,Visitor,United States,New York,Chrome 138.0 (Windows 11),Casual Visitor,2023-12-23,True
249,user_0249,Visitor,India,Mumbai,Safari 18.0 (macOS),Shopper,2023-12-27,True
250,user_0250,Customer,Singapore,Singapore,Edge 138.0 (Windows 11),Shopper,2026-05-18,True
251,user_0251,Visitor,Tanzania,Dar es Salaam,Chrome 138.0 (Windows 11),Shopper,2025-05-29,True
252,user_0252,Visitor,Singapore,Singapore,Safari 18.0 (macOS),Casual Visitor,2025-01-30,True
253,user_0253,Customer,United Kingdom,London,Edge 138.0 (Windows 11),Registered User,2025-05-18,True
254,user_0254,Visitor,Ethiopia,Mekelle,Edge 138.0 (Windows 11),Shopper,2025-04-28,True
255,user_0255,API Client,Uganda,Kampala,Safari 18.0 (macOS),Shopper,2025-07-24,True
256,user_0256,Visitor,Ethiopia,Mekelle,Firefox 140.0 (Ubuntu),Casual Visitor,2023-10-22,True
257,user_0257,Administrator,Kenya,Mombasa,Chrome Mobile (Android),Casual Visitor,2026-06-10,True
258,user_0258,Visitor,India,Mumbai,Firefox 140.0 (Ubuntu),Casual Visitor,2026-05-10,True
259,user_0259,Visitor,Kenya,Mombasa,Edge 138.0 (Windows 11),Shopper,2026-04-28,True
260,user_0260,Visitor,India,Mumbai,Firefox 140.0 (Ubuntu),Shopper,2023-12-29,True
261,user_0261,Customer,Singapore,Singapore,Safari 18.0 (macOS),Casual Visitor,2023-11-01,True
262,user_0262,Visitor,Uganda,Kampala,Chrome 138.0 (Windows 11),Casual Visitor,2025-04-15,True
263,user_0263,Visitor,India,Mumbai,Safari 18.0 (macOS),Casual Visitor,2025-01-07,True
264,user_0264,Visitor,United Kingdom,London,Chrome 138.0 (Windows 11),Casual Visitor,2024-01-15,True
265,user_0265,API Client,United Kingdom,London,Firefox 140.0 (Ubuntu),Registered User,2024-08-19,True
266,user_0266,Visitor,India,Mumbai,Firefox 140.0 (Ubuntu),Registered User,2024-05-22,True
267,user_0267,Customer,Germany,Berlin,Safari 18.0 (macOS),Administrator,2024-05-20,True
268,user_0268,Visitor,Ethiopia,Addis Ababa,Safari 18.0 (macOS),Casual Visitor,2025-11-09,True
269,user_0269,Customer,Ethiopia,Addis Ababa,Safari 18.0 (macOS),Shopper,2025-06-25,True
